"TOA5","DL42385","CR1000X","42386","CR1000X.Std.06.00","CPU:DL42386_O4_O6.CR1X","35048","FifteenMinData"
"TIMESTAMP","RECORD","LoggerID","BattV","PTemp_C","Redox_1_1","Redox_1_2","Redox_1_3","Redox_1_4","Redox_2_1","Redox_2_2","Redox_2_3","Redox_2_4","Redox_3_1","Redox_3_2","Redox_3_3","Redox_3_4","Reference","Redox_1_1_Avg","Redox_1_2_Avg","Redox_1_3_Avg","Redox_1_4_Avg","Redox_2_1_Avg","Redox_2_2_Avg","Redox_2_3_Avg","Redox_2_4_Avg","Redox_3_1_Avg","Redox_3_2_Avg","Redox_3_3_Avg","Redox_3_4_Avg","Reference_Avg","Redox_1_1_Std","Redox_1_2_Std","Redox_1_3_Std","Redox_1_4_Std","Redox_2_1_Std","Redox_2_2_Std","Redox_2_3_Std","Redox_2_4_Std","Redox_3_1_Std","Redox_3_2_Std","Redox_3_3_Std","Redox_3_4_Std","Reference_Std","Redox_1_1_Max","Redox_1_2_Max","Redox_1_3_Max","Redox_1_4_Max","Redox_2_1_Max","Redox_2_2_Max","Redox_2_3_Max","Redox_2_4_Max","Redox_3_1_Max","Redox_3_2_Max","Redox_3_3_Max","Redox_3_4_Max","Reference_Max","Redox_1_1_TMx","Redox_1_2_TMx","Redox_1_3_TMx","Redox_1_4_TMx","Redox_2_1_TMx","Redox_2_2_TMx","Redox_2_3_TMx","Redox_2_4_TMx","Redox_3_1_TMx","Redox_3_2_TMx","Redox_3_3_TMx","Redox_3_4_TMx","Reference_TMx","Redox_1_1_Min","Redox_1_2_Min","Redox_1_3_Min","Redox_1_4_Min","Redox_2_1_Min","Redox_2_2_Min","Redox_2_3_Min","Redox_2_4_Min","Redox_3_1_Min","Redox_3_2_Min","Redox_3_3_Min","Redox_3_4_Min","Reference_Min","Redox_1_1_TMn","Redox_1_2_TMn","Redox_1_3_TMn","Redox_1_4_TMn","Redox_2_1_TMn","Redox_2_2_TMn","Redox_2_3_TMn","Redox_2_4_TMn","Redox_3_1_TMn","Redox_3_2_TMn","Redox_3_3_TMn","Redox_3_4_TMn","Reference_TMn"
"TS","RN","","Volts","Deg C","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","TMx","TMx","TMx","TMx","TMx","TMx","TMx","TMx","TMx","TMx","TMx","TMx","TMx","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","TMn","TMn","TMn","TMn","TMn","TMn","TMn","TMn","TMn","TMn","TMn","TMn","TMn"
"2023-07-12 10:00:00",11982,"DL42391_O4_O6",13.41,29.11,-424.1213,-410.2831,-428.5536,-408.9891,-473.8915,-465.213,-466.8733,-456.2443,-474.2167,-465.8295,-457.2188,-451.8315,-27.22028,-424.9062,-411.3662,-429.4106,-410.3159,-473.759,-464.8966,-466.937,-456.2597,-474.297,-466.2098,-457.2325,-451.8417,-27.23388,0.4416566,1.324027,0.4011694,0.5460739,0.09649169,0.1869683,0.1235944,0.02800656,0.118624,0.5295136,0.03000379,0.02855401,0.01460578,-424.1213,-410.2831,-428.5536,-408.9891,-473.5594,-464.7169,-466.6962,-456.1848,-474.0845,-465.7197,-457.1652,-451.7786,-27.20064,"2023-07-12 10:00:00","2023-07-12 10:00:00","2023-07-12 10:00:00","2023-07-12 10:00:00","2023-07-12 09:53:00","2023-07-12 09:51:00","2023-07-12 09:54:00","2023-07-12 09:54:00","2023-07-12 09:58:00","2023-07-12 09:55:00","2023-07-12 09:54:00","2023-07-12 09:54:00","2023-07-12 09:54:00",-425.614,-414.1409,-429.7635,-410.7831,-473.8915,-465.213,-467.0736,-456.2982,-474.4428,-467.1967,-457.2725,-451.8839,-27.25606,"2023-07-12 09:46:00","2023-07-12 09:46:00","2023-07-12 09:46:00","2023-07-12 09:52:00","2023-07-12 10:00:00","2023-07-12 10:00:00","2023-07-12 09:52:00","2023-07-12 09:56:00","2023-07-12 09:47:00","2023-07-12 09:47:00","2023-07-12 09:56:00","2023-07-12 09:56:00","2023-07-12 09:49:00"
"2023-07-12 10:15:00",11983,"DL42391_O4_O6",13.33,31.96,-421.9603,-396.5746,-426.3367,-393.3659,-475.7316,-466.8727,-466.9458,-456.1591,-474.3106,-466.5263,-457.5572,-451.9784,-27.28379,-422.9872,-402.4741,-427.4473,-394.1382,-474.8605,-466.0619,-466.9778,-456.243,-474.2383,-466.2069,-457.373,-451.8793,-27.26401,0.6346926,6.216769,0.6234171,6.722401,0.6711148,0.6480809,0.05134707,0.0527405,0.08845198,0.225692,0.1166284,0.05422401,0.03009071,-421.9603,-393.8501,-426.3367,-388.223,-473.8856,-465.1406,-466.8815,-456.1312,-474.0516,-465.8567,-457.2091,-451.7729,-27.20369,"2023-07-12 10:15:00","2023-07-12 10:12:00","2023-07-12 10:15:00","2023-07-12 10:11:00","2023-07-12 10:04:00","2023-07-12 10:04:00","2023-07-12 10:01:00","2023-07-12 10:13:00","2023-07-12 10:08:00","2023-07-12 10:01:00","2023-07-12 10:01:00","2023-07-12 10:03:00","2023-07-12 10:05:00",-423.9776,-410.1133,-428.3902,-408.6237,-475.7316,-466.9219,-467.0458,-456.3515,-474.3376,-466.5263,-457.5665,-451.9784,-27.30517,"2023-07-12 10:01:00","2023-07-12 10:01:00","2023-07-12 10:01:00","2023-07-12 10:01:00","2023-07-12 10:15:00","2023-07-12 10:14:00","2023-07-12 10:12:00","2023-07-12 10:05:00","2023-07-12 10:05:00","2023-07-12 10:15:00","2023-07-12 10:14:00","2023-07-12 10:15:00","2023-07-12 10:09:00"
