date,time,area,transect,plot,depth,distance
7/13/23,12:00,WLD,old,1,-40,0
7/13/23,12:00,WLD,old,2,-26,13.1
7/13/23,12:00,WLD,old,3,6,19.9
7/13/23,12:00,WLD,old,4,40,24.3
7/13/23,12:00,WLD,old,5,45,27.4
7/13/23,12:00,WLD,old,6,51,30
7/13/23,12:35,WLD,young,1,-3,0
7/13/23,12:35,WLD,young,2,2,3.5
7/13/23,12:35,WLD,young,3,21,13.2
7/13/23,12:35,WLD,young,4,30,19.9
