"sampleID","sample_date","sample_time","area","transect","plot","medium","depth","Year","DOY","parameter","result_value","unit","constituent","instrument","ddl","detection_FLAG"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"DIC",87.7137266,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"CaMg",120.0681062,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"pH",6.85,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"SpC",2490,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"ORP",-162,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"temp",32.5,"C","CHEM","Probe",-10,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"DOC",49.97113472,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"TC",164.3722359,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Fe_II",37.5,"MG/L","TE","Hach",0.03,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Mn_OES",12.43052895,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Fe_OES",46.33817758,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"P",1.300866363,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Ca",247.6406807,"MG/L","CATION","ICP-OES",0.5,"NONE"
