"sampleID","sample_date","sample_time","area","transect","plot","medium","depth","Year","DOY","parameter","result_value","unit","constituent","instrument","ddl","detection_FLAG"
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"Al_OES",NA,"MG/L","TE","ICP-OES",1,NA
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"Na_OES",NA,"MG/L","CATION","ICP-OES",1,NA
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"K_OES",NA,"MG/L","CATION","ICP-OES",4,NA
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"DIC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"CaMg",NA,"MG/L","CATION","ICP-OES",0.5,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"pH",7.13,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"SpC",NA,"uS/CM","CHEM","Probe",-10,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"ORP",-449,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"temp",16.9,"C","CHEM","Probe",-10,"NONE"
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"DOC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"Fe_II",NA,"MG/L","TE","Hach",0.03,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"Mn_OES",NA,"MG/L","TE","ICP-OES",0.5,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"Fe_OES",NA,"MG/L","TE","ICP-OES",0.5,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"P",NA,"MG/L","TE","ICP-OES",0.5,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"Ca",NA,"MG/L","CATION","ICP-OES",0.5,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"Mg",NA,"MG/L","CATION","ICP-OES",0.5,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"Al_OES",NA,"MG/L","TE","ICP-OES",1,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"Na_OES",NA,"MG/L","CATION","ICP-OES",1,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"K_OES",NA,"MG/L","CATION","ICP-OES",4,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"DIC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-3",2022-11-15,10H 58M 0S,"TB","saline",1,"WI",20,2022,319,"CaMg",NA,"MG/L","CATION","ICP-OES",0.5,NA
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"pH",7.64,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"SpC",NA,"uS/CM","CHEM","Probe",-10,NA
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"ORP",-294,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"temp",15.4,"C","CHEM","Probe",-10,"NONE"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"DOC",7.88,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"Cl",12626,"MG/L","ANION","IC",0.1,"NONE"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"SO4",1859,"MG/L","ANION","IC",0.1,"NONE"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"NH4",520,"UG/L","NUTRIENT","NUTRIENT",0.091,"NONE"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"SRP",243,"UG/L","NUTRIENT","NUTRIENT",0.019,"NONE"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"Fe_II",0.015,"MG/L","TE","Hach",0.03,"<"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"Mn_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"Fe_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"P",8.610270846,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"Ca",0.25,"MG/L","CATION","ICP-OES",0.5,"<"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"Mg",0.25,"MG/L","CATION","ICP-OES",0.5,"<"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"Al_OES",0.5,"MG/L","TE","ICP-OES",1,"<"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"Na_OES",0.5,"MG/L","CATION","ICP-OES",1,"<"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"K_OES",2,"MG/L","CATION","ICP-OES",4,"<"
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"DIC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-4",2022-11-15,11H 7M 0S,"TB","saline",1,"WS",0,2022,319,"CaMg",0.25,"MG/L","CATION","ICP-OES",0.5,"<"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"pH",7.4,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"SpC",NA,"uS/CM","CHEM","Probe",-10,NA
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"ORP",-184,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"temp",15.9,"C","CHEM","Probe",-10,"NONE"
"CoBRA2022-5",2022-11-15,11H 16M 0S,"TB","saline",1,"WS",0,2022,319,"DOC",7.57,"MG/L","C","TOC-L",0.1,"NONE"
